African	Phi
African-American	Phi-Mỹ
American	Mỹ
Arab	Ả
Asian	châu Á
Bible	Kinh Thánh
British	British
CEO	Giám đốc điều hành
Catholic	Công giáo
Chinese	Trung Quốc
Christmas	Giáng Sinh
Democrat	Dân chủ
English	Tiếng Anh
European	châu Âu
French	Pháp
German	Đức
God	Thiên Chúa
I	tôi
Indian	Ấn Độ
Internet	Internet
Iraqi	Iraq
Irish	Ireland
Islamic	Hồi giáo
Israeli	Israel
Italian	Italia
Japanese	Nhật
Jewish	Do Thái
Latin	Latinh
Mexican	Mexico
Mr	Ông
Mrs	bà
Ms	bà
Muslim	Hồi giáo
Olympic	Olympic
Palestinian	Palestine
Republican	đảng Cộng hòa
Russian	Nga
Senate	Thượng viện
Soviet	Liên Xô
Spanish	Tây Ban Nha
Supreme	tối cao
TV	truyền hình
a	một
abandon	từ bỏ
ability	khả năng
able	có thể
abortion	phá thai
about	khoảng
above	trên
abroad	ở nước ngoài
absence	vắng mặt
absolute	tuyệt đối
absolutely	hoàn toàn
absorb	hấp thụ
abuse	lạm dụng
academic	học tập
accept	chấp nhận
access	truy cập
accident	tai nạn
accompany	đi cùng
accomplish	thực hiện
according	theo
account	tài khoản
accurate	chính xác
accuse	buộc tội
achieve	đạt được
achievement	thành tích
acid	axit
acknowledge	thừa nhận
acquire	Acquire
across	qua
act	hành
action	động
active	tích cực
activist	hoạt động
activity	hoạt động
actor	diễn viên
actress	nữ diễn viên
actual	thực tế
actually	thực sự
ad	quảng cáo
adapt	thích nghi
add	add
addition	Ngoài
additional	thêm
address	địa chỉ
adequate	đầy đủ
adjust	điều chỉnh
adjustment	điều chỉnh
administration	quản lý
administrator	quản trị
admire	tự do ngắm cảnh
admission	nhập học
admit	thừa nhận
adolescent	vị thành niên
adopt	thông qua
adult	người lớn
advance	trước
advanced	tiên tiến
advantage	lợi thế
adventure	cuộc phiêu lưu
advertising	quảng cáo
advice	tư vấn
advise	tư vấn cho
adviser	cố vấn
advocate	người ủng hộ
affair	mối quan hệ
affect	ảnh hưởng đến
afford	khả năng
afraid	sợ
after	sau khi
afternoon	buổi chiều
again	một lần nữa
against	chống lại
age	tuổi
agency	cơ quan
agenda	chương trình
agent	đại lý
aggressive	tích cực
ago	trước
agree	đồng ý
agreement	thỏa thuận
agricultural	nông nghiệp
ah	ah
ahead	trước
aid	viện trợ
aide	phụ tá
aim	nhằm mục đích
air	không khí
aircraft	máy bay
airline	hãng hàng không
airport	sân bay
album	album
alcohol	rượu
alive	còn sống
all	tất cả các
alliance	liên minh
allow	cho phép
ally	đồng minh
almost	gần như
alone	một mình
along	cùng
already	đã
also	cũng
alternative	thay thế
although	mặc dù
always	luôn
amazing	tuyệt vời
among	trong
amount	lượng
analysis	phân tích
analyst	phân tích
analyze	phân tích
ancient	cổ xưa
and	và
anger	tức giận
angle	góc
angry	tức giận
animal	động vật
anniversary	kỷ niệm
announce	công bố
annual	hàng năm
another	khác
answer	câu trả lời
anticipate	dự đoán
anxiety	lo lắng
any	bất kỳ
anybody	ai
anymore	nữa
anyone	bất cứ ai
anything	bất cứ điều gì
anyway	nào
anywhere	bất cứ nơi nào
apart	ngoài
apartment	căn hộ
apparent	rõ ràng
apparently	rõ ràng
appeal	hấp dẫn
appear	xuất hiện
appearance	xuất hiện
apple	táo
application	ứng dụng
apply	áp dụng
appoint	chỉ định
appointment	bổ nhiệm
appreciate	đánh giá cao
approach	cách tiếp cận
appropriate	phù hợp
approval	chính
approve	phê duyệt
approximately	xấp xỉ
architect	kiến trúc sư
area	khu vực
argue	tranh luận
argument	tranh cãi
arise	nảy sinh
arm	tay
armed	vũ trang
army	quân đội
around	xung quanh
arrange	bố trí
arrangement	sắp xếp
arrest	bắt giữ
arrival	đến
arrive	đến
art	nghệ thuật
article	bài viết
artist	nghệ sĩ
artistic	nghệ thuật
as	như
aside	sang một bên
ask	hỏi
asleep	ngủ
aspect	khía cạnh
assault	tấn công
assert	khẳng định
assess	đánh giá
assessment	đánh giá
asset	tài sản
assign	assign
assignment	phân công
assist	giúp đỡ
assistance	hỗ trợ
assistant	phụ tá
associate	sư
association	hiệp hội
assume	cho rằng
assumption	giả định
assure	đảm bảo
at	tại
athlete	vận động viên
athletic	thể thao
atmosphere	không khí
attach	đính kèm
attack	tấn công
attempt	cố gắng
attend	tham dự
attention	sự chú ý
attitude	thái độ
attorney	luật sư
attract	thu hút
attractive	hấp dẫn
attribute	thuộc tính
audience	khán giả
author	tác giả
authority	quyền
auto	tự động
available	có sẵn
average	trung bình
avoid	tránh
award	giải thưởng
aware	ý thức
awareness	nhận thức
away	đi
awful	khủng khiếp
baby	bé
back	lại
background	nền
bad	xấu
badly	nặng
bag	túi
bake	nướng
balance	cân bằng
ball	bóng
ban	cấm
band	band
bank	ngân hàng
bar	thanh
barely	vừa đủ
barrel	thùng
barrier	hàng rào
base	căn cứ
baseball	bóng chày
basic	cơ bản
basically	về cơ bản
basis	cơ sở
basket	giỏ
basketball	bóng rổ
bathroom	phòng tắm
battery	pin
battle	trận chiến
be	có
beach	bãi biển
bean	đậu
bear	gấu
beat	đánh bại
beautiful	đẹp
beauty	vẻ đẹp
because	vì
become	trở thành
bed	giường
bedroom	ngủ
beer	bia
before	trước khi
begin	bắt đầu
beginning	bắt đầu
behavior	hành vi
behind	sau
being	là
belief	niềm
believe	tin
bell	chuông
belong	thuộc
below	bên dưới
belt	vành đai
bench	băng ghế dự bị
bend	uốn cong
beneath	dưới
benefit	lợi ích
beside	bên cạnh
besides	bên cạnh
best	tốt nhất
bet	đặt cược
better	tốt hơn
between	giữa
beyond	ngoài
big	lớn
bike	xe đạp
billion	tỷ
bind	bind
biological	sinh học
bird	chim
birth	sinh
birthday	sinh nhật
bit	chút
bite	cắn
black	đen
blade	lưỡi
blame	đổ lỗi
blanket	chăn
blind	mù
block	khối
blood	máu
blow	đòn
blue	xanh
board	board
boat	thuyền
body	thân
bomb	bom
bombing	ném bom
bond	trái phiếu
bone	xương
book	cuốn sách
boom	bùng nổ
boot	khởi động
border	biên giới
born	sinh
borrow	mượn
boss	sếp
both	cả
bother	phiền
bottle	chai
bottom	dưới
boundary	ranh giới
bowl	bát
box	hộp
boy	cậu bé
boyfriend	trai
brain	não
branch	chi nhánh
brand	thương hiệu
bread	bánh mì
break	nghỉ
breakfast	ăn sáng
breast	vú
breath	hơi thở
breathe	thở
brick	gạch
bridge	cầu
brief	ngắn gọn
briefly	vắn tắt
bright	sáng
brilliant	rực rỡ
bring	mang
broad	rộng
broken	vỡ
brother	anh trai
brown	nâu
brush	bàn chải
buck	buck của
budget	ngân sách
build	xây dựng
building	xây dựng
bullet	đạn
bunch	bó
burden	gánh nặng
burn	ghi
bury	chôn
bus	xe buýt
business	kinh doanh
busy	bận rộn
but	nhưng
butter	bơ
button	nút
buy	mua
buyer	mua
by	bởi
cabin	cabin
cabinet	tủ
cable	cáp
cake	bánh
calculate	tính toán
call	gọi
camera	camera
camp	trại
campaign	chiến dịch
campus	trường
can	có thể
cancer	ung thư
candidate	ứng cử viên
cap	nắp
capability	khả năng
capable	có khả năng
capacity	công suất
capital	vốn
captain	đội trưởng
capture	chụp
car	xe
carbon	carbon
card	thẻ
care	chăm sóc
career	sự nghiệp
careful	cẩn thận
carefully	cẩn thận
carrier	hãng
carry	carry
case	trường hợp
cash	tiền mặt
cast	diễn viên
cat	mèo
catch	bắt
category	mục
cause	nguyên nhân
ceiling	trần
celebrate	chào mừng
celebration	lễ kỷ niệm
celebrity	nổi tiếng
cell	tế bào
center	trung tâm
central	trung tâm
century	kỷ
ceremony	buổi lễ
certain	nào đó
certainly	chắc chắn
chain	chuỗi
chair	ghế
chairman	Chủ tịch
challenge	thách thức
chamber	buồng
champion	vô địch
championship	vô địch
chance	cơ hội
change	thay đổi
changing	thay đổi
channel	kênh
chapter	chương
character	nhân vật
characteristic	đặc trưng
characterize	đặc trưng
charge	phụ trách
charity	tổ chức từ thiện
chart	biểu đồ
chase	đuổi
cheap	rẻ
check	séc
cheek	má
cheese	phô mai
chef	đầu bếp
chemical	hóa
chest	ngực
chicken	gà
chief	trưởng
child	trẻ
childhood	tuổi thơ
chip	con chip
chocolate	sô cô la
choice	lựa chọn
cholesterol	cholesterol
choose	chọn
church	thờ
cigarette	điếu thuốc
circle	vòng tròn
circumstance	hoàn cảnh
cite	trích dẫn
citizen	công dân
city	thành phố
civil	dân sự
civilian	dân sự
claim	khẳng định
class	đẳng cấp
classic	cổ điển
classroom	lớp học
clean	sạch sẽ
clear	rõ ràng
clearly	rõ ràng
client	khách hàng
climate	khí hậu
climb	leo lên
clinic	phòng khám
clinical	lâm sàng
clock	đồng hồ
close	gần
closely	sát
closer	chặt chẽ hơn
clothes	quần áo
clothing	quần áo
cloud	đám mây
club	câu lạc bộ
clue	đầu mối
cluster	cụm
coach	HLV
coal	than
coalition	liên minh
coast	bờ biển
coat	áo
code	đang
coffee	cà phê
cognitive	nhận thức
cold	lạnh
collapse	sụp đổ
colleague	đồng nghiệp
collect	thu thập
collection	bộ sưu tập
collective	tập thể
college	đại học
colonial	thuộc địa
color	màu
column	cột
combination	kết hợp
combine	kết hợp
come	đến
comedy	hài
comfort	thoải mái
comfortable	thoải mái
command	lệnh
commander	chỉ huy
comment	bình luận
commercial	thương mại
commission	hoa hồng
commit	cam
commitment	cam kết
committee	ban
common	thường
communicate	trao đổi
communication	thông tin liên lạc
community	cộng đồng
company	công ty
compare	so sánh
